"Species","variable","value.Barbilla","value.Cola","value.Corona","value.Esp_Inf","value.Esp_Med","value.Esp_Sup","value.Frente","value.Garganta","value.Hombro","value.Nuca","value.Panza","value.Parche_Malar","value.Pecho","value.Peso","Peso_log2"
"Amazilia tzacatl","UV",1.60683928571429,3.88303571428571,1.26622619047619,4.64047619047619,2.5664880952381,1.28806547619048,0.141038726190476,1.08105357142857,0.280288333333333,0.21896375,0.443051785714286,0.358500714285714,3.93494047619048,5,2.32192809488736
"Amazilia tzacatl","VIS",2.0833203125,5.5577734375,1.686877734375,5.40671875,2.99201171875,1.619009765625,0.44497013671875,1.8844375,0.4493325390625,0.41523275390625,1.51326953125,0.867266796875,6.139765625,5,2.32192809488736
"Amazilia tzacatl","NIR",4.33647834274953,20.5557438794727,2.13117325800377,10.1556308851224,5.93585687382298,3.25026365348399,1.69413935969868,5.71984934086629,1.94858380414313,2.18934651600753,6.36320150659134,2.50874576271186,13.4424858757062,5,2.32192809488736
"Anthracothorax nigricollis","UV",0.788395297619048,3.63645833333333,0.295182261904762,6.31803571428571,4.17410714285714,1.6719306547619,3.38547619047619,1.15875238095238,2.95955357142857,4.66470238095238,4.89190476190476,2.71597023809524,1.37666369047619,7,2.8073549220576
"Anthracothorax nigricollis","VIS",0.7397064453125,4.9232130859375,0.312519140625,7.7983046875,6.34168046875,2.5893152734375,4.109854296875,0.82176791015625,2.4527638671875,5.30136328125,4.9673046875,4.99908984375,0.816316015625,7,2.8073549220576
"Anthracothorax nigricollis","NIR",1.6613643126177,4.83528813559322,0.795593126177024,12.0690583804143,6.34244821092279,2.2088747645951,7.77969868173258,1.84876557438795,6.44947269303201,8.08224105461394,13.605856873823,3.68962919020716,2.43616007532957,7,2.8073549220576
"Campylorhynchus griseus","UV",12.1744047619048,2.98357142857143,0.321103452380952,4.63154761904762,3.41184523809524,1.18494047619048,0.104189702380952,16.5710714285714,2.34565476190476,7.33392857142857,13.9427380952381,8.74940476190476,5.79765476190476,47,5.55458885167764
"Campylorhynchus griseus","VIS",24.8486328125,4.709375,0.8582484375,9.2660546875,4.94220703125,2.1931640625,0.29756871484375,30.9765625,3.355951171875,8.6120703125,32.0859375,21.489453125,15.49953125,47,5.55458885167764
"Campylorhynchus griseus","NIR",27.3403013182674,12.4778907721281,5.28527306967985,24.0399246704331,14.2213935969868,8.99670433145009,3.0919736346516,33.5282485875706,9.18570621468927,10.901581920904,38.2713747645951,26.1348399246704,19.2519774011299,47,5.55458885167764
"Chlorestes julie","UV",1.56607142857143,3.45089285714286,0.100105476190476,3.06130952380952,0.135231839285714,0.0686870357142857,0.20466875,0.36636505952381,0.0921476785714286,0.125262952380952,1.48824404761905,0.304408214285714,0.899803571428571,4,2
